kappa,Sample,Train W+,Train W-,Train Z,Test W+,Test W-,Test Z,Overall ACC,W+ AUC,W+ ACC,W- AUC,W- ACC,Z AUC,Z ACC,time
0.15,100k,14426,15082,13045,3532,3780,3327,0.6441394867938716,0.8083356877345338,0.7730049816712097,0.811593773599897,0.7658614531440925,0.8121300821670584,0.7700911739825171,2022-10-05 21:30:47.244185
0.15,700k,100302,105627,90997,25064,26585,22583,0.6460151956029745,0.8084116019969029,0.7690214462765385,0.8148923522460305,0.7652360168121565,0.8088714096619505,0.7743695441319107,2022-10-05 21:37:53.260418
0.3,100k,14426,15082,13045,3532,3780,3327,0.648745182817934,0.8216333536823711,0.7783626280665477,0.8223964612979047,0.7686812670363756,0.8137562366855888,0.7729109878748003,2022-10-05 21:58:40.149068
0.3,700k,100302,105627,90997,25064,26585,22583,0.6523466968423322,0.8202293091287346,0.7738845780795345,0.8261738177256248,0.7718638861946331,0.8100414790561101,0.7746793835542624,2022-10-05 22:52:53.070864
0.15,1700k,242523,257053,221355,60667,64573,54993,0.6479002180510783,0.8110228920988088,0.7690489532993403,0.8165422497118764,0.7668628941425821,0.809514019446382,0.7745196495647301,2022-10-08 20:41:40.617927
0.3,1700k,242523,257053,221355,60667,64573,54993,0.6542253638345918,0.8238063530900854,0.7759899685407223,0.8291549181546735,0.7731436529381411,0.8105980764382061,0.7744586174562927,2022-10-08 22:51:22.647399
0.15,100k-2,32023,33088,25542,7885,8360,6419,0.6436639604659372,0.810834367416139,0.766590187080833,0.8155150581896322,0.7624867631486058,0.8025195476398815,0.7770914225202965,2022-10-15 18:05:28.475746
0.15,100k-3,39448,40514,38550,9789,10042,9797,0.6451667341703794,0.8131084508050559,0.773423788308357,0.8155037823068977,0.7722424733360335,0.7991848924782174,0.7635344943971919,2022-10-15 23:18:14.163848
0.15,1000k,391534,403767,384364,97398,101401,96118,0.6374539277152554,0.8075632198250526,0.7693147563551779,0.8111136526224783,0.7656120196529871,0.7918727839544104,0.7571960924599125,2022-11-06 17:43:43.241756
0.3,1000k-J,280622,291512,252767,70092,72951,63183,0.6594852249473878,0.8287845539693823,0.7771231561490791,0.8290239987869843,0.774538612977995,0.8092742610401291,0.7840815416096903,2022-11-08 13:19:33.049949
0.3,1000k,279926,290497,252676,69846,73008,62921,0.6505649374316608,0.8258427985837543,0.7754197545863201,0.8250559099173806,0.7701713036083101,0.7923202017887059,0.7741659579637954,2022-11-17 15:47:16.049958
