kappa,Sample,Train W+,Train W-,Train Z,Validation W+,Validation W-,Validation Z,Test W+,Test W-,Test Z,Overall ACC,W+ AUC,W+ ACC,W- AUC,W- ACC,Z AUC,Z ACC,time
0.15,100k,11367,12071,10354,2835,2849,2508,3431,3595,3214,0.642285168170929,0.8275055915287595,0.77265625,0.8305643968767757,0.77275390625,0.8009993904762309,0.78046875,2022-10-06 13:34:01.737784
0.3,100k,11395,12044,10353,2778,2845,2569,3468,3622,3150,0.6446288824081421,0.8229954180692464,0.77314453125,0.8276635271273783,0.7728515625,0.8020716412564085,0.784375,2022-10-08 21:43:52.605197
0.15,700k,79985,84522,72549,20042,20972,17866,24840,26181,22707,0.6774495244026184,0.8476486150209318,0.7915852864583334,0.8476405499928634,0.785888671875,0.841864256297382,0.8058268229166666,2022-10-08 22:51:44.972389
0.3,700k,80172,84405,72479,19776,20943,18161,24914,26359,22455,0.6693657636642456,0.8421944681822486,0.7876112196180556,0.8433322578269777,0.7801242404513888,0.8391114958643908,0.8042263454861112,2022-10-08 23:28:55.541340
0.15,1700k,194073,205456,176983,48358,51564,43950,60572,64406,55246,0.6737781763076782,0.8483919780751001,0.7916481711647727,0.8491093177921087,0.7853338068181818,0.8434404777436101,0.8072509765625,2022-10-09 03:36:19.685603
0.3,1700k,194148,205715,176649,48230,51356,44286,60634,64343,55247,0.6750266551971436,0.8463149317936987,0.7899058948863636,0.8471120750800234,0.7835693359375,0.8449894544927362,0.8084272904829546,2022-10-09 12:38:44.354692
0.15,700k,79985,84522,72549,20042,20972,17866,24840,26181,22707,0.6779649257659912,0.847213443653521,0.7918836805555556,0.8478993712904148,0.7856309678819444,0.8420600442759442,0.8059895833333334,2022-10-09 14:19:25.114874
0.15,100k-2,25255,26441,20496,6413,6492,5015,7994,8271,6263,0.6549183130264282,0.8336148862369221,0.7766779119318182,0.8359568189684285,0.7765447443181818,0.8101332910300955,0.7978959517045454,2022-10-15 18:23:25.939747
0.15,1000k,313068,323475,307073,78176,80581,76763,97518,100926,96468,0.6843125820159912,0.8546582617956735,0.7965562608506944,0.8537786899523234,0.7926025390625,0.8349441993598449,0.7973225911458334,2022-10-31 00:24:43.709031
0.15,500k-J,112415,116276,101037,27914,29110,25408,34976,36491,31445,0.6933788061141968,0.8598924677901061,0.7974288712686567,0.8589347630620519,0.7939307369402985,0.8384373249487849,0.8157843594527363,2022-11-06 15:04:18.335144
0.15,1000k-J,224518,232960,201978,56078,58367,50419,69783,72784,63257,0.6975280046463013,0.8629843490018761,0.8000670475746269,0.8620494614386812,0.7965008939676617,0.8441110631627198,0.8181601756840796,2022-11-06 22:27:14.875470
0.15,1000k,223683,232549,202200,56028,57982,50342,69804,72691,62817,0.6830531358718872,0.8561518966743187,0.7945078709476309,0.8547812795982965,0.7900853335411472,0.8236893204918243,0.802344724127182,2022-11-17 16:55:44.264813
0.15,1000k,223742,232980,201710,56002,57682,50668,69760,72578,62974,0.6845191717147827,0.8557722308978144,0.7939964541770573,0.8547868203757654,0.7907964463840399,0.8231875253019905,0.8015995168329177,2022-11-18 11:40:52.970880
